진료년월,요양기관소재지구분,계,서울,부산,인천,대구,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2017년 07월,환자수,"2,448,564","479,736","158,380","127,982","103,862","77,765","82,800","65,161","650,952","68,296","66,276","104,589","92,725","79,633","108,932","161,315","32,042","12,288"
2017년 07월,내원일수,"3,704,752","724,265","239,767","191,404","155,585","120,009","120,326","101,327","982,862","98,577","97,844","152,183","141,348","120,060","155,782","239,547","45,359","18,507"
2017년 08월,환자수,"2,539,305","506,610","152,937","133,855","108,778","85,017","89,277","61,309","673,490","76,099","70,213","109,689","102,632","82,951","115,771","152,403","32,192","13,285"
2017년 08월,내원일수,"3,699,059","731,291","225,516","191,626","158,320","127,955","126,596","91,550","969,394","107,194","99,528","153,110","151,803","121,813","160,072","218,385","44,999","19,907"
2017년 09월,환자수,"3,447,299","693,594","201,284","178,948","146,280","111,290","121,115","80,123","938,839","98,359","97,245","150,486","131,054","107,666","153,848","206,492","38,015","18,593"
2017년 09월,내원일수,"5,233,904","1,052,122","305,711","268,748","221,644","171,661","178,264","122,569","1,429,432","145,866","143,949","220,270","200,249","161,938","221,679","307,228","54,180","28,394"
2017년 10월,환자수,"3,144,904","590,412","210,746","161,747","141,000","109,005","109,888","78,097","809,200","89,055","89,208","137,879","129,060","110,216","149,849","204,227","39,346","18,109"
2017년 10월,내원일수,"4,540,108","848,308","305,210","230,107","202,724","161,942","153,956","113,680","1,164,501","125,167","124,460","192,004","186,531","157,802","204,729","287,551","54,612","26,824"
2017년 11월,환자수,"3,969,496","764,424","263,606","205,830","174,015","131,897","132,197","102,295","1,023,581","110,980","108,352","168,875","153,152","138,629","185,753","262,150","49,688","22,012"
2017년 11월,내원일수,"6,011,059","1,159,942","401,063","309,274","261,744","200,966","192,150","156,763","1,560,084","165,864","158,255","246,614","230,393","207,542","264,589","388,145","72,503","35,168"
2017년 12월,환자수,"4,808,985","910,173","332,447","248,920","216,461","153,314","154,491","124,236","1,217,261","138,997","135,910","209,895","175,926","170,378","244,049","332,560","57,989","24,776"
